,distance,stellar_magnitude,mass_wrt_earth,radius_wrt_earth,orbital_radius,orbital_period,star_mass,planet_type
70,2174.0,8.69,540.6,13.2,1.7,2.0,196821291488994.16,Gas Giant
71,1442.0,9.381,508.8,13.309999999999999,4.2,7.1,15617638681927.727,Gas Giant
72,171.0,9.38,228.95999999999998,13.75,0.78,0.7271732,1488868492308449.5,Gas Giant
73,147.0,9.374,4770.0,14.41,1662.0,67794.6,171293.886495178,Gas Giant
74,124.0,8.96,1259.28,12.76,2.06,3.3,72294321942697.58,Gas Giant
75,290.0,3.51012,2480.4,12.32,1.7,1.7,272417012441514.47,Gas Giant
76,64.0,3.85,3731.13534,18.15,10.019926,23.6,1413539869929.576,Gas Giant
77,64.0,3.85,3224.8761600000003,12.21,2.680483,3.3,72294321942697.58,Gas Giant
78,126.0,2.0569,1939.8,12.54,1.4,1.4,401676105079579.94,Gas Giant
79,28.0,13.95,3.95,1.82,0.0185,0.0062970566,1.4916908275871062e+16,Super Earth
84,36.0,11.298,2003.3999999999999,12.21,7506.0,1101369.9,649.031330845145,Gas Giant
85,1104.0,15.293,874.5,10.67,0.1055,0.03613963,6.027880925750897e+17,Gas Giant
86,2137.0,12.897,740.94,15.729999999999999,0.0436,0.008213553,1.166997540560707e+19,Gas Giant
87,3674.0,15.588,291.606,15.84,0.04016,0.007665982,1.3396658236183745e+19,Gas Giant
88,3748.0,15.005,415.944,9.735,0.051,0.0109514035,6.564361765062199e+18,Gas Giant
89,5691.0,15.932,2416.7999999999997,11.99,0.027,0.0041067763,4.667990616905065e+19,Gas Giant
90,2389.0,16.052,170.13000000000002,12.87,0.0618,0.014784395,3.601844455889623e+18,Gas Giant
91,3837.0,16.29,772.74,11.22,0.0461,0.010403832,7.273532894289306e+18,Gas Giant
92,2495.0,14.868,1103.46,14.41,0.0295,0.005201916,2.9094131577157222e+19,Gas Giant
93,2579.0,14.135,352.98,14.190000000000001,0.0518,0.010677618,6.905312054967876e+18,Gas Giant
94,2570.0,13.623,327.54,16.39,0.02752,0.0041067763,4.667990616905065e+19,Gas Giant
95,2753.0,14.63,1367.3999999999999,9.24,0.09,0.025188226,1.240900346611099e+18,Gas Giant
96,2753.0,14.63,5406.0,11.99,2.9,4.6,37206293287144.46,Gas Giant
97,4563.0,16.058,718.68,14.3,0.0417,0.0073921974,1.4407378213358092e+19,Gas Giant
98,2046.0,13.82,12.2,4.785,0.092,0.026830938,1.0936046724559948e+18,Neptune-like
99,3461.0,15.675,890.4,11.55,0.048,0.009856262,8.104152218374799e+18,Gas Giant
100,1930.0,15.383,5.7,3.6300000000000003,0.056,0.013963039,4.038054409797487e+18,Neptune-like
101,1930.0,15.383,28.0,4.84,0.098,0.03230664,7.543076009348128e+17,Neptune-like
102,3600.0,14.79,85.86,11.88,0.0578,0.013415469,4.374418689823979e+18,Gas Giant
103,3409.0,15.861,165.36,13.86,0.0526,0.011498973,5.954070327192778e+18,Gas Giant
104,3296.0,15.774,3304.02,11.076999999999998,0.0476,0.009856262,8.104152218374799e+18,Gas Giant
105,2499.0,13.783,153.912,10.504999999999999,0.0603,0.014236824,3.88423803091943e+18,Gas Giant
106,2631.0,15.408,270.3,9.9,0.0386,0.007939767,1.2488680435367533e+19,Gas Giant
107,696.0,12.516,1103.46,16.126,0.02798,0.0046543465,3.6342487085413917e+19,Gas Giant
108,3367.0,15.571,922.1999999999999,11.098999999999998,0.0844,0.024914443,1.2683225205267937e+18,Gas Giant
109,6543.0,15.479,267.12,16.06,0.0586,0.012594113,4.963601386444396e+18,Gas Giant
110,3664.0,15.635,349.8,18.48,0.0429,0.008761123,1.0256814789621996e+19,Gas Giant
111,3020.0,13.126,216.24,15.51,0.066,0.015331964,3.349164559045936e+18,Gas Giant
112,2508.0,13.448,6887.88,11.11,0.05783,0.011772759,5.680356084549392e+18,Gas Giant
113,2370.0,13.652,228.95999999999998,13.09,0.09,0.025188226,1.240900346611099e+18,Gas Giant
114,2879.0,14.043,148.506,15.267999999999999,0.04947,0.0109514035,6.564361765062199e+18,Gas Giant
115,2105.0,13.961,941.28,12.825999999999999,0.0855,0.02436687,1.3259665733014682e+18,Gas Giant
116,522.0,11.728,4.07661,1.681,0.017016,0.0024640656,9.742030425950728e+16,Super Earth
117,522.0,11.728,8.4,2.783,0.046,0.010130048,7.672008266315798e+18,Neptune-like
119,1050.0,14.792,69.96,6.27,0.063,0.016974675,2.732304721652432e+18,Gas Giant
120,1347.0,13.637,267.12,11.726,0.4021,0.2609172,1.1564494394130424e+16,Gas Giant
121,1881.0,13.626,47.699999999999996,6.27,0.071,0.0183436,2.339714816614227e+18,Gas Giant
122,622.0,12.335,5406.0,24.200000000000003,440.0,0.99931556,788363972314899.6,Gas Giant
123,100.0,12.956,3825.3174,12.100000000000001,5.75,11.2,6276189141868.437,Gas Giant
125,440.0,13.98,3498.0,29.700000000000003,330.0,10441.5,7221148.611788866,Gas Giant
126,204.0,7.98,24.27,5.192,0.1462,0.050924025,3.03589413516937e+17,Neptune-like
127,204.0,7.98,9.6,3.003,0.0733,0.018069815,2.4111523703003587e+18,Neptune-like
128,204.0,7.98,3.35,1.65,0.0422,0.007939767,9382930454821588.0,Super Earth
129,204.0,7.98,4.13,1.86,0.0651,0.015058179,2608609684516369.5,Super Earth
130,450.0,8.57,138.966,14.08,0.0664,0.014236824,3.88423803091943e+18,Gas Giant
131,148.0,9.066,2.58,1.41,0.0662,0.0183436,1757862371610989.2,Super Earth
132,997.0,18.6837,1997.0400000000002,12.54,8.19,28.0,1004190262698.9497,Gas Giant
134,437.0,17.6984,1.15,1.047,0.0349,0.018617386,1706540528052870.0,Super Earth
141,1884.0,14.974,0.688,0.908,0.0296,0.0054757018,1.9727608249979104e+16,Terrestrial
143,1424.0,14.983,1.12,1.04,0.035,0.011498973,4473381162428833.5,Super Earth
154,607.0,15.133,4.35,1.92,0.1195,0.05804244,175575005558876.4,Super Earth
155,593.0,10.154,27.0,5.654,0.1493,0.05338809,2.7621248219871504e+17,Neptune-like
164,1097.0,14.81,7.2,2.541,0.098,0.037234772,5.6785136070959245e+17,Neptune-like
165,1097.0,14.81,7.7,2.6399999999999997,0.28,0.17960301,2.440646306510872e+16,Neptune-like
168,798.0,12.101,7.72,1.6,0.01312,0.0016427105,2.19195657896818e+17,Super Earth
169,798.0,12.101,5.8,2.2,0.1091,0.036413416,446098915733127.5,Neptune-like
171,1216.0,11.237,954.0,11.561,0.07229,0.016974675,2.732304721652432e+18,Gas Giant
172,1800.0,12.353,4134.0,12.21,4.5,10.0,7872851659559.767,Gas Giant
173,1048.0,11.429,8.75,1.95,0.047,0.009856262,6088769510424344.0,Super Earth
174,1048.0,11.429,14.67,3.597,0.13,0.042710472,4.315820034354922e+17,Neptune-like
175,1048.0,11.429,10.18,3.872,0.22,0.097741276,8.240926861051531e+16,Neptune-like
176,228.0,4.12577,2130.6,12.43,1.3,1.1441479,601405967214181.6,Gas Giant
177,10.0,3.71548,209.88000000000002,13.75,3.53,7.3,14773600412009.318,Gas Giant
178,12.0,4.69,1033.5,12.87,11.55,45.2,385349854117.3822,Gas Giant
179,155.0,3.523,2416.7999999999997,12.43,1.93,1.6,307533267951553.3,Gas Giant
181,52.0,13.078,2.5,1.39,0.02279,0.0062970566,1.4916908275871062e+16,Super Earth
182,52.0,13.078,3.75,1.76,0.0525,0.022176592,1202719632124927.5,Super Earth
183,91.0,13.821,4.76,2.025,0.0385,0.015605749,2428760985767975.0,Super Earth
184,1186.0,13.242,534.24,13.519000000000002,0.04047,0.008487337,1.092922017431861e+19,Gas Giant
