,distance,stellar_magnitude,mass_wrt_earth,radius_wrt_earth,orbital_radius,orbital_period,star_mass,planet_type
624,121.0,7.20856,209.88000000000002,13.75,5.0,13.7,4194603686696.024,Gas Giant
625,109.0,7.25,3081.4199999999996,12.21,1.5,1.8,242989248751844.6,Gas Giant
626,112.0,7.7,1411.92,12.649999999999999,2.93,5.3,28027239799073.57,Gas Giant
627,317.0,7.46,976.26,12.87,2.78,3.6,60747312187961.15,Gas Giant
628,116.0,7.33,531.06,13.2,1.06,1.0576317,703822505826517.5,Gas Giant
629,85.0,5.7,81.67194,10.604,0.474065,0.29705682,8921810885497604.0,Gas Giant
630,85.0,5.7,395.73192,13.42,1.038376,0.9620808,850567869911440.5,Gas Giant
631,85.0,5.7,3523.23966,12.21,9.815941,27.8,1018691017488.7125,Gas Giant
632,153.0,6.77005,384.78,13.42,0.0379,0.006023272,2.1700368930866844e+19,Gas Giant
633,223.0,9.2,1123.176,12.76,1.988,2.8,100419026269894.98,Gas Giant
634,377.0,8.97,20.42286,4.686,0.242129,0.110609174,6.435018062248852e+16,Neptune-like
635,174.0,9.236,1914.36,12.54,0.45,0.28473648,9710595077298574.0,Gas Giant
636,441.0,6.57226,709.14,13.09,0.76,0.4826831,3379153201513701.0,Gas Giant
637,58.0,6.61935,1583.80218,12.649999999999999,11.938641,43.1,423816175599.81726,Gas Giant
638,743.0,8.495,763.0092,12.979999999999999,4.888326,7.5,13996180728106.252,Gas Giant
639,77.0,6.47933,6.44,2.376,0.0634,0.015879534,3.122170108841883e+18,Neptune-like
640,77.0,6.47933,5.59,2.23,0.1117,0.036960986,432979083184292.6,Neptune-like
641,132.0,8.3,674.1600000000001,13.09,0.2388,0.12101301,5.376107468162164e+16,Gas Giant
642,132.0,8.3,2086.08,12.43,1.922,2.8,100419026269894.98,Gas Giant
643,35.0,8.61,28.55,5.7090000000000005,0.323,0.23764546,1.3940329039308436e+16,Neptune-like
644,42.0,5.37,384.78,13.42,1.32,1.4,401676105079579.94,Gas Giant
645,356.0,7.96,1634.52,12.649999999999999,0.522,0.3192334,7725301212572044.0,Gas Giant
646,356.0,7.96,731.4,13.09,1.36,1.3456537,434775886018625.25,Gas Giant
647,389.0,7.63,356.478,13.53,1.7,1.9,218084533505810.72,Gas Giant
648,186.0,7.69,270.3,13.64,2.45,2.8,100419026269894.98,Gas Giant
649,252.0,8.23,391.14,13.42,0.993,0.8996578,972696536062652.2,Gas Giant
650,252.0,8.23,1640.88,12.649999999999999,6.15,13.9,4074764069954.85,Gas Giant
651,233.0,6.90498,413.40000000000003,13.42,1.04,0.90759754,955752512498414.6,Gas Giant
652,247.0,8.15,120.84,8.14,0.04364,0.007939767,1.2488680435367533e+19,Gas Giant
653,239.0,7.89,422.94,13.42,0.053,0.011225188,6.248054683820391e+18,Gas Giant
654,66.0,7.08308,3880.1724,12.100000000000001,12.278296,45.3,383650408099.04865,Gas Giant
655,471.0,6.2893,763.1999999999999,12.979999999999999,1.4,1.5,349904518202656.3,Gas Giant
656,623.0,8.36,874.5,12.979999999999999,1.262,1.173169,572019601824593.5,Gas Giant
657,92.0,7.03,861.78,12.979999999999999,6.7,16.1,3037248431603.628,Gas Giant
658,142.0,7.43,37.24604,6.677,0.159926,0.05995893,2.1899001860649437e+17,Neptune-like
659,142.0,7.43,1634.99064,12.649999999999999,14.10056,49.7,318727320039.3413,Gas Giant
660,287.0,9.18,846.198,12.979999999999999,4.187,8.0,12301330718062.135,Gas Giant
661,541.0,8.38,594.342,13.2,1.66,1.9,218084533505810.72,Gas Giant
662,352.0,8.855,11.56,3.344,0.1053,0.03175907,7.805424289024911e+17,Neptune-like
664,146.0,9.1,7.51,1.64,0.0522,0.013141684,3424932154637781.0,Super Earth
665,146.0,9.1,8.11,2.343,0.1268,0.047091037,3.550222402062129e+17,Super Earth
666,59.0,7.83,20.05856,4.6419999999999995,0.068049,0.019986311,1.9709099702324462e+18,Neptune-like
667,59.0,7.83,17.30766,4.257,0.111312,0.041889116,4.486727336216443e+17,Neptune-like
668,59.0,7.83,8685.1683,11.66,21.34978,111.4,63439782719.362236,Gas Giant
669,158.0,7.39,938.1,12.87,1.28,1.3672826,421129334971818.9,Gas Giant
670,60.0,6.59,6.6,2.409,0.134,0.050924025,3.03589413516937e+17,Neptune-like
671,60.0,6.76,260.76,13.64,4.21,9.2,9301573321786.115,Gas Giant
672,206.0,8.21,1707.66,12.54,0.6,0.44873372,3909801033551611.5,Gas Giant
673,207.0,7.24,779.1,12.979999999999999,1.29,1.1186858,629094397763328.8,Gas Giant
674,207.0,7.24,820.44,12.979999999999999,5.36,9.5,8723381340232.428,Gas Giant
675,189.0,7.0092,238.5,13.75,1.04,0.96564,844309301487491.5,Gas Giant
676,242.0,6.81,826.8000000000001,12.979999999999999,2.0,2.2,162662224371069.5,Gas Giant
677,142.0,7.28,314.82,13.53,0.63,0.5319644,2782062802157225.5,Gas Giant
678,142.0,7.28,260.76,13.64,1.02,1.0729637,683851824261537.4,Gas Giant
679,90.0,7.0,7.50192,2.596,0.030046,0.005201916,2.9094131577157222e+19,Neptune-like
680,90.0,7.0,1850.8554,12.54,13.125939,47.1,354887133557.8078,Gas Giant
681,157.0,5.53,17.14419,4.224,0.166479,0.05995893,2.1899001860649437e+17,Neptune-like
682,157.0,5.53,1662.4022400000001,12.54,8.301568,21.5,1703158823052.4102,Gas Giant
683,118.0,8.07,2996.84154,12.32,0.501896,0.36522928,5902022954699371.0,Gas Giant
684,118.0,8.07,3208.7440199999996,12.21,5.484633,13.2,4518395121418.599,Gas Giant
685,185.0,6.67,235.32,13.75,1.88,2.3,148825173148577.84,Gas Giant
686,79.0,8.43,4.15,1.87,0.05,0.012594113,3729227187411266.5,Super Earth
687,79.0,8.43,31.4968,6.050000000000001,1.57,2.2,162662224371069.5,Neptune-like
688,156.0,6.5,3393.06,12.21,1.12,0.98425734,812670966038774.5,Gas Giant
689,309.0,7.47,486.54,13.309999999999999,1.5,1.4,401676105079579.94,Gas Giant
695,925.0,5.72291,4452.0,12.100000000000001,2.1,2.2,162662224371069.5,Gas Giant
696,239.0,8.65,359.34,13.42,0.11,0.034496922,6.615632546233265e+17,Gas Giant
697,239.0,8.65,604.1999999999999,13.2,0.8,0.68008214,1702195072618643.8,Gas Giant
698,182.0,7.24,705.324,13.09,2.32,3.2,76883316987888.33,Gas Giant
699,182.0,7.24,244.22400000000002,13.75,1.032,0.9609856,852507696591867.1,Gas Giant
700,290.0,7.52,297.012,13.53,1.492,1.6,307533267951553.3,Gas Giant
701,290.0,7.52,1151.16,12.76,3.584,5.9,22616637918873.215,Gas Giant
704,51.0,5.12,10.17,3.1129999999999995,0.09286,0.026283368,1.1396461744557217e+18,Neptune-like
706,350.0,5.88375,181.26,13.86,0.85,0.7646817,1346389371308682.2,Gas Giant
707,123.0,6.834,82.68,10.681,0.36,0.20670773,1.842547247627354e+16,Gas Giant
708,195.0,7.297,1621.8,12.649999999999999,2.12,2.7,107995221667486.48,Gas Giant
709,101.0,9.1,3129.12,12.21,0.08,0.022997946,1.4885175817981944e+18,Gas Giant
710,221.0,8.0,249.1848,13.64,0.362,0.20588636,1.85727801331114e+16,Gas Giant
711,221.0,8.0,699.918,13.09,2.39,3.5,64268176812732.78,Gas Giant
712,83.0,5.78,22.1,4.906,0.14,0.047091037,3.550222402062129e+17,Neptune-like
713,173.0,8.1,140.874,14.08,0.87,0.7671458,1337753959726534.5,Gas Giant
714,92.0,7.08597,16.14,4.0809999999999995,0.23,0.10951403,6.564362364470506e+16,Neptune-like
715,128.0,9.62,635.33856,13.09,1.331,1.8,242989248751844.6,Gas Giant
716,72.0,7.01227,116.06046,13.09,2.16,3.3,72294321942697.58,Gas Giant
717,72.0,7.01227,13.0,3.597,0.341,0.20725529,1.8328242395650668e+16,Neptune-like
718,72.0,7.01227,4.0,1.83,0.103,0.034223136,505026778577906.06,Super Earth
719,72.0,7.01227,10.52012,3.1679999999999997,0.2292,0.11444216,6.011183369741135e+16,Neptune-like
720,207.0,9.36,919.0200000000001,12.979999999999999,1.13,1.1895962,556330579344044.0,Gas Giant
721,385.0,8.17,2044.74,12.43,0.94,0.7392197,1440737977255664.8,Gas Giant
722,147.0,9.33,1122.54,12.76,5.42,14.1,3959987756933.638,Gas Giant
723,162.0,5.98796,540.6,13.2,1.32,1.1520876,593145259647555.5,Gas Giant
724,350.0,5.98894,270.3,13.64,0.1512,0.056673512,2.451160875737143e+17,Gas Giant
725,76.0,6.295,9.53485,2.992,0.1192,0.041341547,4.6063678962238906e+17,Neptune-like
726,129.0,6.92122,2424.1458,12.43,0.292241,0.15906912,3.11143198282063e+16,Gas Giant
727,129.0,6.92122,5736.53238,11.88,2.840843,4.8,34170363105728.15,Gas Giant
728,136.0,7.95,85.86,10.923,0.07,0.017522246,2.564203697405499e+18,Gas Giant
729,130.0,9.35,2147.48898,12.43,10.932103,40.5,479978762966.6067,Gas Giant
730,130.0,9.44,2887.00752,12.32,6.469422,18.4,2325393330446.529,Gas Giant
731,2455.0,9.19,2795.22,12.32,1.36,1.5,349904518202656.3,Gas Giant
732,123.0,5.9,804.01212,12.979999999999999,0.764552,0.6179329,2061813749419366.5,Gas Giant
733,123.0,5.9,2261.08494,12.43,3.073402,5.0,31491406638239.066,Gas Giant
734,196.0,8.21,209.88000000000002,13.75,2.24,3.1,81923534438707.23,Gas Giant
735,745.0,7.732,3221.34,12.21,1.31,0.98535246,810865566027720.4,Gas Giant
736,364.0,8.292,833.1600000000001,12.979999999999999,1.32,1.5,349904518202656.3,Gas Giant
737,146.0,8.61,2798.4,12.32,2.57,4.2,44630678342175.55,Gas Giant
738,255.0,8.17,1116.1799999999998,12.100000000000001,0.16278,0.05804244,2.336903323988645e+17,Gas Giant
739,431.0,6.04188,858.6,12.979999999999999,1.16,0.8859685,1002987467089259.2,Gas Giant
740,763.0,6.28209,1335.6000000000001,12.76,1.7,1.6,307533267951553.3,Gas Giant
741,232.0,8.01,2162.7974999999997,12.43,2.306105,3.5,64268176812732.78,Gas Giant
742,423.0,8.020001,190.164,13.86,0.975,0.81697464,1179546095158958.2,Gas Giant
744,145.0,7.535,276.66,13.64,1.42,1.7,272417012441514.47,Gas Giant
745,91.0,8.42,5.74,2.222,0.06296,0.01779603,2.485912339788435e+18,Neptune-like
746,91.0,8.42,9.18,2.926,0.11878,0.04599589,3.721294278115185e+17,Neptune-like
747,55.0,6.15,15.1,3.9269999999999996,0.246,0.12183436,5.303865422537519e+16,Neptune-like
748,205.0,7.18,537.42,13.2,1.14,1.1227926,624500780091813.2,Gas Giant
749,205.0,7.18,47.699999999999996,7.7219999999999995,0.5137,0.30362767,8539832937680693.0,Gas Giant
750,134.0,7.97,2553.54,12.32,0.34,0.19575633,2.054473008089616e+16,Gas Giant
751,227.0,7.95,25.74423,5.368,0.1214,0.039698835,4.995472174147014e+17,Neptune-like
752,90.0,6.25,291.288,13.64,0.0443,0.008487337,1.092922017431861e+19,Gas Giant
753,447.0,7.93,697.692,13.09,0.843,0.5850787,2299871084466949.0,Gas Giant
754,404.0,7.89,1011.24,12.87,3.87,6.2,20480883609676.81,Gas Giant
755,399.0,6.61519,6401.339999999999,11.88,1.46,1.0841889,669764547305655.1,Gas Giant
756,19.0,9.12,12.214,3.465,0.343,0.2899384,9365276254564768.0,Neptune-like
757,341.0,7.78,535.83,13.2,1.4,1.4,401676105079579.94,Gas Giant
758,156.0,8.59,2982.62376,12.32,7.420228,20.8,1819723479003.274,Gas Giant
759,393.0,7.55,807.72,12.979999999999999,1.592,1.5,349904518202656.3,Gas Giant
760,88.0,8.4,6.3566,2.354,0.08,0.025735795,1.1886579285191296e+18,Neptune-like
761,88.0,8.4,203.52,13.86,1.76,2.6,116462302656209.53,Gas Giant
762,88.0,8.4,171.72,13.97,3.0,6.0,21869032387666.02,Gas Giant
763,73.0,7.518,10.50968,3.1679999999999997,0.087639,0.028199865,9.90006417995574e+17,Neptune-like
764,73.0,7.518,3117.12504,12.21,17.521435,79.4,124879474832.65176,Gas Giant
765,196.0,7.84,127.2,13.75,1.85,2.6,116462302656209.53,Gas Giant
766,177.0,7.86,1102.63002,12.87,1.459291,1.7,272417012441514.47,Gas Giant
767,177.0,7.86,2960.6277,12.32,5.581571,12.8,4805207311743.0205,Gas Giant
768,187.0,8.67,19.7,3.487,0.1334,0.04791239,3.4295441505655917e+17,Neptune-like
769,198.0,5.88639,98.58,11.88,0.94,0.784668,1278675031991521.0,Gas Giant
770,198.0,5.88639,95.39999999999999,11.66,1.334,1.3259411,447799499019523.4,Gas Giant
771,198.0,5.88639,143.1,14.08,1.92,2.3,148825173148577.84,Gas Giant
772,170.0,6.67973,321.18,13.53,0.077,0.018617386,2.2714054428383698e+18,Gas Giant
773,126.0,8.99,24.1,2.552,0.048,0.011225188,6.248054683820391e+18,Neptune-like
774,150.0,7.22,265.848,13.64,2.1,2.8,100419026269894.98,Gas Giant
775,150.0,7.83,166.314,13.97,0.0426,0.008487337,1.092922017431861e+19,Gas Giant
776,150.0,7.83,632.82,13.09,4.89,10.4,7278893916013.096,Gas Giant
777,531.0,7.81,1081.2,12.87,1.82,2.1,178522713368702.2,Gas Giant
778,165.0,8.24,477.0,13.309999999999999,1.203,1.2626969,493780391902227.94,Gas Giant
779,210.0,7.34,9267.62982,11.66,11.958319,40.0,492053228722.4854,Gas Giant
780,58.0,6.074,8.5,2.794,0.111,0.039151266,5.1361825202240403e+17,Neptune-like
781,58.0,6.074,7.0,2.497,0.197,0.092265576,9.248103337839587e+16,Neptune-like
782,64.0,7.67,359.34,12.43,0.03126,0.006023272,2.1700368930866844e+19,Gas Giant
783,41.0,7.46,16.46,4.125,0.092,0.032032855,7.672568470920599e+17,Neptune-like
784,205.0,7.3,1727.7576000000001,12.54,2.405224,3.1,81923534438707.23,Gas Giant
785,52.0,5.738,572.4,13.2,3.9,7.8,12940255850689.951,Gas Giant
786,52.0,5.738,19.069,4.499,0.1304,0.04681725,3.591867175292919e+17,Neptune-like
787,178.0,7.78,631.23,13.09,2.231,3.2,76883316987888.33,Gas Giant
788,483.0,8.76,985.8000000000001,12.87,5.5,13.4,4384524203363.648,Gas Giant
789,214.0,8.09,2970.47616,12.32,2.746858,4.4,40665556092767.375,Gas Giant
790,175.0,8.97,10.0,3.344,0.0804,0.02436687,1.3259665733014682e+18,Neptune-like
791,175.0,8.97,8.0,3.135,0.1752,0.07830253,1.2840456956500922e+17,Neptune-like
792,175.0,8.97,2.8,2.9370000000000003,0.2132,0.105133474,7.122788319348427e+16,Neptune-like
793,175.0,8.97,112.26036,12.76,0.407,0.2767967,1.0275672454295058e+16,Gas Giant
794,175.0,8.97,660.3556199999999,13.09,3.2,6.0,21869032387666.02,Gas Giant
795,175.0,8.97,13.5,3.6740000000000004,0.812,0.7775496,1302194521716357.8,Neptune-like
796,64.0,7.79,178.08,13.86,0.15,0.06680356,1.7641392180526906e+17,Gas Giant
797,29.0,5.73,16.9,4.191,0.32,0.20451744,1.882224285903838e+16,Neptune-like
798,29.0,5.73,24.0,5.159,1.18,1.4,401676105079579.94,Neptune-like
799,234.0,6.45591,666.528,13.09,1.063,0.93333334,903771223518037.2,Gas Giant
800,262.0,8.99,3581.9551800000004,12.21,11.043187,35.9,610862086697.0125,Gas Giant
801,123.0,6.87591,1265.64,12.76,0.14,0.049828887,3.17080617404919e+17,Gas Giant
802,165.0,7.5,1011.24,12.87,2.51,3.8,54521133376452.68,Gas Giant
803,130.0,6.51,3975.0,12.100000000000001,5.02,10.0,7872851659559.767,Gas Giant
804,865.0,6.55594,2703.0,12.32,1.1,1.100616,649920782392840.9,Gas Giant
805,111.0,6.39677,820.44,12.979999999999999,2.37,3.7,57508047184512.52,Gas Giant
806,108.0,6.82294,251.22,13.64,2.07,2.8,100419026269894.98,Gas Giant
807,79.0,6.98,42.888659999999994,7.260000000000001,0.425988,0.27268994,1.0587510055161518e+16,Gas Giant
808,73.0,5.06345,435.66,13.309999999999999,1.305,1.276386,483245706937870.7,Gas Giant
809,136.0,8.39,11.66,3.366,0.0974,0.03230664,7.543076009348128e+17,Neptune-like
810,136.0,8.39,14.44,3.8169999999999997,0.1964,0.09281315,9.139302317321146e+16,Neptune-like
811,237.0,6.48605,508.48199999999997,13.309999999999999,1.565,1.7,272417012441514.47,Gas Giant
812,237.0,6.48605,386.05199999999996,13.42,1.96,2.3,148825173148577.84,Gas Giant
813,150.0,8.08,5692.2,11.88,2.41,3.5,64268176812732.78,Gas Giant
816,527.0,8.324,323.40599999999995,16.994999999999997,0.05208,0.009034907,9.644610548684448e+18,Gas Giant
817,128.0,8.45,3498.0,14.190000000000001,487.1,11094.6,6396004.646420696,Gas Giant
818,208.0,8.76,7.42,1.72,0.018,0.0024640656,9.742030425950728e+16,Super Earth
819,201.0,4.28,1111.092,12.87,1.768964,1.4,401676105079579.94,Gas Giant
820,201.0,4.28,2377.07226,12.43,5.068253,6.8,17026063277594.654,Gas Giant
821,237.0,8.23,2480.4,12.32,2.73,4.3,42578970576310.26,Gas Giant
822,280.0,9.0,2000.22,12.54,2.2,3.1,81923534438707.23,Gas Giant
823,156.0,7.99,1554.3871800000002,12.649999999999999,3.183074,5.6,25104756567473.746,Gas Giant
824,156.0,7.99,17.20043,4.235,0.211213,0.09582478,8.573860376413979e+16,Neptune-like
825,156.0,7.99,4843.62018,11.99,7.444845,20.1,1948677423717.1768,Gas Giant
826,94.0,8.45,73.14,9.933,2.55,4.7,35639889812402.74,Gas Giant
827,283.0,7.84,123.49529999999999,13.53,0.177326,0.06926762,1.640860033527062e+17,Gas Giant
828,302.0,8.56,435.66,13.309999999999999,0.896,0.76605064,1341581648875056.8,Gas Giant
829,245.0,7.62,34.2,6.3469999999999995,0.461,0.26283368,1.1396461744557216e+16,Neptune-like
830,480.0,8.34,647.448,13.09,1.74,1.8,242989248751844.6,Gas Giant
831,133.0,6.68804,8904.0,13.75,9.6,25.6,1201301827935.7551,Gas Giant
832,133.0,6.68804,4038.6,16.06,3.53,5.7,24231614833978.965,Gas Giant
833,117.0,8.48,1.93,1.21,0.0529,0.01451061,2809200088942022.5,Super Earth
834,117.0,8.48,5.33,2.17,0.1004,0.038056124,408418029895360.6,Neptune-like
835,117.0,8.48,10.61,3.19,0.1647,0.079945244,1.2318187313952789e+17,Neptune-like
836,117.0,8.48,14.03,3.7620000000000005,0.3374,0.23408625,1.4367468701171676e+16,Neptune-like
837,117.0,7.36,473.1204,13.309999999999999,1.3649,1.6,307533267951553.3,Gas Giant
838,192.0,8.78,178.08,13.86,0.586,0.43832994,4097602220603125.0,Gas Giant
839,192.0,8.78,232.14,13.75,2.112,3.2,76883316987888.33,Gas Giant
840,92.0,8.37,14.4,2.453,0.1163,0.044353183,4.0020497563584877e+17,Super Earth
841,20.0,4.26,2.7,1.45,0.1207,0.050102666,235630954134614.22,Super Earth
842,20.0,4.26,2.4,1.35,0.2036,0.109787814,49073353518851.76,Super Earth
843,20.0,4.26,4.8,2.04,0.3499,0.24722794,9677404911992.266,Super Earth
844,20.0,4.26,4.77,2.03,0.509,0.40246406,3651739633697.1455,Super Earth
845,147.0,7.47,165.36,13.97,0.524,0.3561944,6205230149068245.0,Gas Giant
846,1018.0,6.38984,3148.2000000000003,12.21,2.1,2.4,136681452422912.6,Gas Giant
847,156.0,9.92,397.5,13.42,0.95,1.0428474,723919946519888.9,Gas Giant
848,220.0,6.50821,445.2,13.309999999999999,1.05,0.96564,844309301487491.5,Gas Giant
849,158.0,7.65,232.14,15.29,0.04707,0.009582478,8.573860376413977e+18,Gas Giant
850,138.0,7.83,153.1806,13.97,1.487,1.8,242989248751844.6,Gas Giant
851,69.0,6.54348,410.22,13.42,1.13,1.2106776,537124613547802.4,Gas Giant
852,177.0,5.93022,574.944,13.2,1.148,0.969473,837646217512158.8,Gas Giant
853,271.0,8.48,1761.72,12.54,0.768,0.61273104,2096970425157977.5,Gas Giant
854,211.0,8.59,213.06,13.75,2.656,4.3,42578970576310.26,Gas Giant
855,43.0,10.24,13.0,3.597,0.143,0.068993844,1.653908136558316e+17,Neptune-like
856,177.0,7.76,162.18,13.97,0.03,0.006023272,2.1700368930866844e+19,Gas Giant
857,363.0,7.6,760.0200000000001,12.979999999999999,1.19,1.0422999,724680668586949.8,Gas Giant
858,133.0,6.81,1774.44,12.54,1.89,2.4,136681452422912.6,Gas Giant
859,210.0,8.17,1113.0,12.87,13.0,46.6,362543593525.3811,Gas Giant
860,134.0,7.68,9.51349,2.992,0.099068,0.030390145,8.524453068238601e+17,Neptune-like
861,157.0,7.95,8.83,1.745,0.02012,0.0027378509,7.891043299991642e+16,Super Earth
862,157.0,7.95,19.95,4.62,0.056798,0.013141684,4.558584697822887e+18,Neptune-like
863,95.0,7.88,65.93412,9.35,0.362,0.23080082,1.4779419406210496e+16,Gas Giant
864,331.0,8.06,6232.62828,11.88,3.078036,5.1,30268556937946.043,Gas Giant
865,70.0,8.11,1.819,1.19,0.057638,0.015879534,2345732613705397.0,Super Earth
866,70.0,8.11,1.72,1.17,0.067393,0.019986311,1480773831880125.0,Super Earth
867,70.0,8.11,2.801,1.48,0.08799,0.029842572,664173452238479.2,Super Earth
868,70.0,8.11,2.877,1.51,0.15417,0.068993844,124260566232781.08,Super Earth
869,132.0,8.96,6.3566,2.354,0.05,0.010677618,6.905312054967876e+18,Neptune-like
870,132.0,8.96,104.94000000000001,12.21,1.282,1.6,307533267951553.3,Gas Giant
871,108.0,6.03,400.68,13.42,2.56,3.6,60747312187961.15,Gas Giant
872,87.0,6.04,706.914,13.09,2.497,3.7,57508047184512.52,Gas Giant
873,64.0,7.53,10.26,3.1239999999999997,0.198,0.0971937,8.33404493898469e+16,Neptune-like
874,64.0,7.53,9.44,2.9810000000000003,0.528,0.42272416,4405730512248189.0,Neptune-like
875,1227.0,9.229,333.90000000000003,13.53,0.61,0.40684465,4756361441229102.0,Gas Giant
876,120.0,8.11,181.26,13.86,0.46,0.32443532,7479555902068566.0,Gas Giant
877,108.0,7.95,8.23,2.75,0.1455,0.062149215,2.038265593670666e+17,Neptune-like
878,108.0,7.95,17.37,4.257,0.2586,0.14702259,3.6422011755996664e+16,Neptune-like
879,65.0,6.155,413.40000000000003,13.42,0.08,0.01943874,2.0835112347461722e+18,Gas Giant
880,65.0,6.155,826.8000000000001,12.979999999999999,5.32,11.7,5751224822528.868,Gas Giant
881,53.0,8.08,3.7,0.892,0.0695,0.021355236,1297015787935363.8,Super Earth
882,181.0,7.78,4405.26354,12.100000000000001,2.44502,3.6,60747312187961.15,Gas Giant
883,181.0,7.78,7.35886,2.5740000000000003,0.037863,0.0068446267,1.6804768512356327e+19,Neptune-like
884,215.0,8.520001,6868.8,11.88,4.56,9.6,8542590776432.037,Gas Giant
885,202.0,8.05,188.1288,13.86,3.748429,7.0,16067044203183.195,Gas Giant
886,94.0,8.6,63.6,9.152,0.69,0.6179329,2061813749419366.5,Gas Giant
887,95.0,6.12,3101.45082,12.21,5.935698,15.0,3499045182026.563,Gas Giant
888,21.0,5.56911,4.74,1.602,0.03876,0.008487337,8211284879277693.0,Super Earth
889,21.0,5.56911,4.36,1.511,0.0653,0.018617386,1706540528052870.0,Super Earth
890,21.0,5.56911,16.17,1.61,0.237,0.12840521,35874736690036.164,Super Earth
891,21.0,5.56911,7.3,1.31,0.1463,0.062149215,153137910869321.28,Super Earth
892,21.0,5.56911,10.80622,3.223,0.3753,0.25790554,1.1836157243356934e+16,Neptune-like
893,21.0,5.56911,108.12,12.54,3.11,6.2,20480883609676.81,Gas Giant
894,342.0,5.84863,248.04000000000002,13.64,0.94,0.7542779,1383787177436916.0,Gas Giant
895,539.0,8.909,318.0,13.53,3.2,5.7,24231614833978.965,Gas Giant
896,307.0,9.809,16.6,4.62,0.06356,0.016427105,2.9174942066066473e+18,Neptune-like
897,238.0,8.04,18.94937,4.4879999999999995,0.048559,0.010403832,7.273532894289306e+18,Neptune-like
898,238.0,8.04,5409.9114,11.99,5.657321,13.1,4587641547438.824,Gas Giant
899,1059.0,6.40607,5291.52,11.99,1.6,1.8,242989248751844.6,Gas Giant
900,210.0,8.92,63.6,9.152,2.729,4.7,35639889812402.74,Gas Giant
901,153.0,7.74,355.52400000000006,13.53,3.396,6.2,20480883609676.81,Gas Giant
902,165.0,7.10831,461.09999999999997,13.309999999999999,4.94,10.2,7567139234486.511,Gas Giant
903,211.0,7.98,1011.24,12.87,0.74,0.5982204,2199933893460961.8,Gas Giant
904,182.0,7.82,982.62,12.87,1.25,1.2487338,504884844459651.9,Gas Giant
905,312.0,8.15,60.42,9.196,0.1228,0.039151266,5.1361825202240403e+17,Gas Giant
906,102.0,5.82,6366.8369999999995,11.88,8.416586,23.6,1413539869929.576,Gas Giant
907,182.0,7.457,511.98,13.309999999999999,2.306,3.2,76883316987888.33,Gas Giant
908,297.0,7.47,496.08000000000004,13.309999999999999,1.83,2.4,136681452422912.6,Gas Giant
909,165.0,7.11716,674.1600000000001,13.09,5.14,11.0,6506488974842.781,Gas Giant
910,138.0,7.68,2661.66,12.32,1.34,1.6,307533267951553.3,Gas Giant
911,258.0,8.06,2235.38418,12.43,2.373375,3.3,72294321942697.58,Gas Giant
912,305.0,8.23,222.6,13.75,0.191,0.07310062,1.4732957894700192e+17,Gas Giant
913,44.0,8.57,5.57,2.22,0.051,0.013963039,3033850044926737.5,Neptune-like
914,526.0,7.85,674.1600000000001,13.09,1.9,2.4,136681452422912.6,Gas Giant
915,106.0,8.78,4340.7,12.100000000000001,1.167,1.4,401676105079579.94,Gas Giant
916,109.0,7.12,829.9799999999999,12.979999999999999,1.6,2.0,196821291488994.16,Gas Giant
917,306.0,8.58,485.58599999999996,13.309999999999999,2.37,3.3,72294321942697.58,Gas Giant
918,355.0,8.97,359.34,13.42,0.567,0.3876797,5238246688242337.0,Gas Giant
919,2763.0,10.291,2090.85,12.43,0.747,0.52566737,2849115327739371.5,Gas Giant
920,192.0,10.15,566.04,13.2,2.827,5.6,25104756567473.746,Gas Giant
921,127.0,9.73,8.32,2.0,0.1162,0.048459962,251876630327232.22,Super Earth
922,127.0,9.73,3.41,1.87,0.1646,0.08158795,88859112418681.06,Super Earth
923,127.0,9.73,0.55,0.75,0.04298,0.0109514035,4931902152563635.0,Terrestrial
924,127.0,9.73,0.72,0.818,0.068,0.02162902,1264387892901663.2,Terrestrial
925,127.0,9.73,0.77,1.137,0.0906,0.03340178,530169562149568.94,Super Earth
926,170.0,7.26122,3676.9227,12.21,2.692222,4.2,44630678342175.55,Gas Giant
927,50.0,9.71,6.89,2.475,0.0932,0.037508555,5.59591876880035e+17,Neptune-like
928,1694.0,8.770001,1908.0,12.54,5.7,11.2,6276189141868.437,Gas Giant
929,1215.0,8.270001,1656.78,12.54,1.16,1.4,401676105079579.94,Gas Giant
930,3045.0,8.19,5053.02,11.99,1.92,2.0,196821291488994.16,Gas Giant
931,152.0,7.515,1227.48,12.76,4.92,10.0,7872851659559.767,Gas Giant
932,152.0,7.515,63.918000000000006,9.174,1.3,1.4,401676105079579.94,Gas Giant
933,979.0,6.74616,4099.02,12.100000000000001,1.29,1.5,349904518202656.3,Gas Giant
934,179.0,7.57,11.8,3.399,0.034,0.0054757018,2.6257446580722192e+19,Neptune-like
935,122.0,8.87,2867.87664,12.32,6.245213,16.8,2789417396385.9717,Gas Giant
936,181.0,7.77,290.97,13.64,2.971,4.9,32789886128945.29,Gas Giant
937,375.0,5.60075,795.0,12.979999999999999,1.49,1.2511978,502898250000473.0,Gas Giant
938,160.0,8.2,38.02619,6.765,0.241872,0.11444216,6.011183369741135e+16,Neptune-like
939,160.0,8.2,5256.0153,11.99,17.779459,72.1,151447301377.91684,Gas Giant
940,33.0,9.63,2.14,1.24,0.02933,0.007665982,1.0065107615464874e+16,Super Earth
